316126512001	8.48	7.91
316126512002	9.10	8.68
316126512003	8.57	8.81
316126512004	9.71	8.91
316126512005	9.05	0
316126512006	7.90	6.45
316126512007	9.05	8.60
316126512008	0.00	0.00
316126512009	8.05	8.12
316126512010	8.95	8.36
316126512011	9.00	7.52
316126512012	8.90	6.64
316126512013	8.71	7.96
316126512014	9.00	7.14
316126512015	7.86	0
316126512016	8.71	8.01
316126512017	8.62	6.05
316126512018	7.90	6.48
316126512019	9.00	7.60
316126512020	10.00	8.98
316126512021	8.24	7.68
316126512022	8.76	8.61
316126512023	9.14	8.77
316126512024	7.67	7.14
316126512025	9.14	8.93
316126512026	7.86	0
316126512027	8.33	7.70
316126512028	9.00	6.74
316126512029	8.43	6.32
316126512030	8.24	8.23
316126512031	8.90	8.50
316126512032	9.24	7.95
316126512033	9.00	8.76
316126512034	8.33	0
316126512035	8.14	7.19
316126512036	0.00	0.00
316126512037	8.62	0
316126512038	8.10	7.39
316126512039	9.10	8.66
316126512040	9.52	8.73
316126512041	6.71	0
316126512042	8.43	6.65
316126512043	8.76	9.15
316126512044	8.48	7.37
316126512045	9.38	8.73
316126512046	7.19	6.17
316126512047	7.76	6.66
316126512048	9.81	9.30
316126512049	7.38	0
316126512050	8.95	8.95
316126512051	8.90	7.41
316126512052	8.90	8.65
316126512053	8.43	6.57
316126512054	8.43	8.11
316126512055	9.14	8.01
316126512056	8.24	6.24
316126512057	8.62	7.75
316126512058	8.57	7.27
316126512059	7.71	0
316126512060	8.81	7.55
316126512061	8.43	7.71
316126512062	8.19	7.19
316126512063	9.48	9.06
316126512064	8.81	8.26
316126512065	9.43	8.45
316126512066	7.00	0
316126512067	7.76	6.98
316126512068	7.71	5.96
316126512069	9.62	7.83
316126512070	8.48	6.39
316126512071	8.29	0
316126512072	9.62	9.18
316126512073	8.33	6.88
316126512074	9.86	8.85
316126512075	8.67	8.48
316126512076	8.71	8.16
316126512077	9.19	7.93
316126512078	9.38	9.10
316126512079	0	0
316126512080	9.05	8.82
316126512081	0.00	0.00
316126512082	9.19	8.89
316126512083	9.43	9.33
316126512084	9.05	8.97
316126512085	8.29	7.68
316126512086	8.38	7.06
316126512087	7.52	6.58
316126512088	8.19	7.15
316126512089	6.62	0
316126512090	8.33	8.08
316126512091	9.24	8.25
316126512092	8.48	7.43
316126512093	0.00	0.00
316126512094	9.48	8.95
316126512095	7.95	6.47
316126512096	7.62	6.56
316126512097	7.48	0
316126512098	8.48	0
316126512099	9.19	8.44
316126512100	9.19	8.76
316126512101	0.00	0.00
316126512102	8.57	7.20
316126512103	7.67	7.17
316126512104	9.76	9.12
316126512105	7.57	6.85
316126512106	8.52	7.81
316126512107	8.57	6.90
316126512108	8.81	8.16
316126512109	8.52	8.16
316126512110	8.71	8.43
316126512111	8.33	6.99
316126512112	9.52	8.98
316126512113	0.00	0.00
316126512114	7.95	0
316126512115	9.67	9.02
316126512116	9.52	8.70
316126512117	8.29	7.58
316126512118	7.86	0
316126512119	8.95	7.12
316126512120	7.48	6.62
316126512121	7.57	7.22
316126512122	8.52	8.04
316126512123	8.14	0
316126512124	9.05	7.97
316126512125	9.00	8.40
316126512126	8.67	7.70
316126512127	7.95	7.82
316126512128	8.86	7.14
316126512129	7.24	0
316126512130	9.24	7.94
316126512131	8.86	8.53
316126512132	9.62	9.36
316126512133	8.67	8.31
316126512134	9.67	8.83
315126512135	7.24	0
316126512136	8.24	7.92
316126512137	8.52	8.20
316126512138	8.86	8.74
316126512139	8.67	8.46
316126512140	8.86	8.81
316126512141	9.24	8.64
316126512142	8.90	8.82
316126512143	8.10	7.94
316126512144	8.24	6.78
316126512145	8.67	8.43
316126512146	8.81	8.22
316126512147	8.67	8.36
316126512148	7.57	6.99
316126512149	0	0
316126512150	8.95	8.30
316126512151	9.00	7.99
316126512152	8.33	7.71
316126512153	8.14	0
316126512154	6.81	0
316126512155	7.19	0
316126512156	8.76	7.82
316126512157	8.81	8.17
316126512158	8.14	7.38
316126512159	8.33	7.73
316126512160	0.00	0.00
316126512161	9.24	9.04
316126512162	8.67	8.18
316126512163	8.86	8.27
316126512164	9.19	8.59
316126512165	9.67	9.43
316126512166	0.00	0.00
316126512167	8.67	7.76
316126512168	0.00	0.00
316126512169	8.86	8.85
316126512170	9.29	8.71
316126512171	9.24	8.57
316126512172	8.62	8.16
316126512173	7.95	7.52
316126512174	8.48	8.15
316126512175	9.14	8.52
316126512176	0.00	0.00
316126512177	8.67	8.13
316126512178	8.86	7.41
316126512179	9.24	8.60
316126512180	9.19	8.11
316126512181	9.71	9.12
316126512182	9.33	8.65
316126512183	0.00	0.00
316126512184	9.52	8.64
316126512185	7.48	5.93
316126512186	7.62	6.55
316126512187	8.00	6.52
316126512188	7.38	5.99
316126512189	8.14	6.55
316126512190	7.76	6.32
316126512191	0.00	0.00
316126512192	9.00	7.98
316126512193	8.67	7.27
316126512194	7.95	7.24
316126512195	7.43	6.91
316126512196	8.95	8.09
316126512197	8.67	7.66
316126512198	8.95	8.42
316126512199	0.00	0.00
316126512200	8.05	0
316126512201	9.00	8.24
316126512202	8.14	6.70
316126512203	9.24	8.80
316126512204	9.24	8.00
316126512205	8.86	7.85
316126512206	7.86	6.18
316126512207	8.14	6.92
316126512208	7.52	0
316126512209	7.76	7.24
316126512210	8.33	6.46
316126512211	7.76	0
316126512212	8.48	7.70
316126512213	7.95	7.22
316126512214	7.38	0
